,New_feature,Volume,Subjectivity,Sentiment,NIFTY50,NIFTY50_train_pred
5131,10661.0,263700.0,0.0,0.0,1.0,1.0
2233,10778.0,229800.0,0.2,1.0,1.0,1.0
18097,10363.0,216400.0,0.366666667,1.0,0.0,
14691,12027.0,771300.0,0.0,0.0,0.0,
3056,11367.0,246900.0,0.2,1.0,1.0,1.0
12975,12057.0,524700.0,0.5,1.0,0.0,1.0
6934,11727.0,532600.0,0.0,0.0,0.0,1.0
12498,10640.0,240100.0,0.0,-1.0,1.0,1.0
18547,15685.0,243200.0,0.3,1.0,1.0,
20275,18132.0,280400.0,0.54375,-1.0,1.0,
1594,10725.0,214100.0,0.54,1.0,0.0,1.0
17461,11526.0,337600.0,0.066666667,1.0,0.0,
4863,10450.0,425500.0,0.0,-1.0,1.0,1.0
6508,10477.0,176000.0,0.571428571,1.0,0.0,1.0
11816,9388.0,897700.0,0.21875,-1.0,0.0,1.0
18301,15635.0,351500.0,0.125,0.0,1.0,
20758,16672.0,330600.0,0.42,1.0,0.0,
9853,11879.0,659000.0,0.0,0.0,0.0,1.0
14139,11390.0,668700.0,0.0,0.0,1.0,1.0
3224,11565.0,218800.0,0.0,0.0,0.0,1.0
14057,11428.0,626200.0,0.3,0.0,1.0,1.0
12574,12085.0,632500.0,0.2,-1.0,1.0,1.0
5653,10832.0,463400.0,0.0,0.0,0.0,1.0
3551,11335.0,240900.0,0.4,1.0,0.0,1.0
8049,11754.0,295500.0,0.0,0.0,0.0,1.0
2407,8792.0,801500.0,0.54,1.0,1.0,1.0
12069,12193.0,304100.0,0.583333333,1.0,1.0,1.0
6492,11426.0,282600.0,0.0,0.0,1.0,1.0
8689,11035.0,444700.0,0.8,1.0,0.0,1.0
3372,10762.0,220500.0,0.767857143,1.0,1.0,1.0
11341,12189.0,501200.0,0.75,1.0,0.0,1.0
18398,15778.0,360300.0,0.65,1.0,0.0,
8797,17302.0,271000.0,0.0,0.0,0.0,1.0
8539,11656.0,464000.0,0.0,0.0,1.0,1.0
12239,8929.0,719400.0,1.0,-1.0,1.0,1.0
17934,15268.0,384000.0,0.0,0.0,1.0,
6359,11916.0,490800.0,0.0,0.0,0.0,1.0
12860,11247.0,680800.0,0.333333333,1.0,0.0,1.0
1906,10748.0,209400.0,0.460016835,1.0,1.0,1.0
17943,15239.0,441500.0,0.5,1.0,1.0,
17662,14591.0,455900.0,0.454545455,1.0,0.0,
14890,11936.0,458300.0,0.25,0.0,0.0,
19752,17371.0,243400.0,0.5,1.0,1.0,
5666,10644.0,356900.0,0.0,0.0,0.0,1.0
